Ano-calendário,Ente Federativo,Centil,Quantidade de Contribuintes,Bens e Direitos - Imóveis [R$ milhões],Bens e Direitos - Financeiros [R$ milhões],Dívidas e Ônus [R$ milhões]
2006,AM,52,2.246,15.85,29.01,2.02
2006,AM,53,2.247,12.2,10.46,3.04
2006,AM,54,2.246,9.86,4.9,1.68
2006,AM,55,2.247,12.24,31.42,2.3
2006,AM,56,2.246,10.14,6.45,1.7
2006,AM,57,2.247,21.34,8.9,2.52
2006,AM,58,2.246,17.1,11.85,1.24
2006,AM,59,2.246,22.98,6.83,1.67
2006,AM,60,2.247,14.58,4.09,1.96
2006,AM,61,2.246,15.48,11.94,3.82
2006,AM,62,2.247,18.36,9.25,2.62
2006,AM,63,2.246,15.52,11.25,2.82
2006,AM,64,2.247,19.17,15.81,2.31
2006,AM,65,2.246,17.58,11.57,1.81
2006,AM,66,2.247,32.64,33.88,3.91
2006,AM,67,2.246,13.45,9.01,1.98
2006,AM,68,2.246,13.4,12.08,3.02
2006,AM,69,2.247,17.26,15.29,2.25
2006,AM,70,2.246,18.89,10.12,3.09
2006,AM,71,2.247,19.43,32.2,6.49
2006,AM,72,2.246,20.76,9.91,3.62
2006,AM,73,2.247,18.71,9.56,2.72
2006,AM,74,2.246,19.48,16.44,3.93
2006,AM,75,2.246,30.3,26.55,6.77
2006,AM,76,2.247,33.91,16.61,3.55
2006,AM,77,2.246,26.18,16.83,7.11
2006,AM,78,2.247,43.32,28.5,7.53
2006,AM,79,2.246,37.27,25.69,5.24
2006,AM,80,2.247,29.07,26.15,5.45
2006,AM,81,2.246,43.84,63.24,7.1
2006,AM,82,2.247,31.46,11.56,5.18
2006,AM,83,2.246,45.22,26.79,6.21
2006,AM,84,2.246,34.66,21.22,8.22
2006,AM,85,2.247,43.11,37.72,9.47
2006,AM,86,2.246,50.13,30.81,11.85
2006,AM,87,2.247,49.22,42.04,10.88
2006,AM,88,2.246,51.19,54.01,12.62
2006,AM,89,2.247,56.63,45.47,11.82
2006,AM,90,2.246,62.39,47.92,12.95
2006,AM,91,2.247,74.98,83.91,15.25
2006,AM,92,2.246,72.86,47.07,15.26
2006,AM,93,2.246,188.21,87.19,17.12
2006,AM,94,2.247,98.4,61.04,16.13
2006,AM,95,2.246,103.6,88.28,16.93
2006,AM,96,2.247,147.8,186.51,24.86
2006,AM,97,2.246,157.86,129.25,27.24
2006,AM,98,2.247,210.86,176.6,33.72
2006,AM,99,2.246,284.75,214.96,40.16
2006,AM,100,2.246,627.38,1075.1,122.91
2006,AP,2,255.0,0.33,9.69,0.6
2006,AP,3,254.0,0.32,0.63,0.0
2006,AP,4,255.0,0.44,0.73,0.08
2006,AP,5,254.0,0.31,0.65,0.01
2006,AP,6,255.0,0.08,0.61,0.0
2006,AP,7,254.0,0.91,0.64,0.01
2006,AP,9,254.0,0.33,0.96,0.01
2006,AP,10,255.0,0.28,0.5,0.02
2006,AP,16,255.0,0.46,0.75,0.11
2006,AP,17,254.0,0.47,2.23,0.0
2006,AP,18,255.0,0.4,0.54,0.02
2006,AP,19,254.0,0.66,1.06,0.07
2006,AP,20,255.0,0.48,0.52,0.01
2006,AP,21,254.0,2.36,0.92,0.04
2006,AP,22,255.0,0.47,0.78,0.14
2006,AP,23,254.0,0.35,0.55,0.42
2006,AP,24,255.0,0.53,0.39,0.02
2006,AP,25,254.0,0.49,1.46,0.05
2006,AP,26,255.0,0.62,1.52,0.07
2006,AP,27,255.0,1.21,0.83,0.1
2006,AP,28,254.0,1.38,0.59,0.11
2006,AP,29,255.0,0.2,0.46,0.09
2006,AP,30,254.0,0.5,1.31,0.09
2006,AP,31,255.0,0.6,2.08,0.07
2006,AP,32,254.0,0.79,0.7,0.1
2006,AP,33,255.0,0.23,0.18,0.06
2006,AP,34,254.0,0.22,0.47,0.05
2006,AP,35,255.0,0.36,0.84,0.12
2006,AP,36,254.0,0.3,0.73,0.07
2006,AP,37,255.0,0.05,0.03,0.02
2006,AP,38,254.0,0.52,0.52,0.08
2006,AP,39,255.0,0.44,0.83,0.17
2006,AP,40,254.0,0.48,1.23,0.03
2006,AP,41,255.0,0.78,0.65,0.13
2006,AP,42,254.0,0.41,0.28,0.05
2006,AP,43,255.0,0.59,1.81,0.11
2006,AP,44,254.0,1.48,0.99,0.34
2006,AP,45,255.0,0.15,0.53,0.06
2006,AP,46,254.0,1.1,1.9,0.22
2006,AP,47,255.0,1.12,0.69,0.13
2006,AP,48,254.0,0.78,0.76,0.1
2006,AP,49,255.0,1.45,0.04,0.18
2006,AP,50,254.0,0.44,0.44,0.1
2006,AP,51,255.0,1.51,2.18,0.89
2006,AP,52,255.0,0.98,0.87,0.11
2006,AP,53,254.0,0.92,0.65,0.46
2006,AP,54,255.0,0.72,1.06,0.16
2006,AP,55,254.0,1.42,0.26,0.65
2006,AP,56,255.0,0.81,0.47,0.17
2006,AP,57,254.0,1.24,0.35,0.03
2006,AP,58,255.0,0.56,0.24,0.34
2006,AP,59,254.0,0.76,0.4,0.14
2006,AP,60,255.0,0.89,0.75,0.13
2006,AP,61,254.0,0.88,0.69,0.06
2006,AP,62,255.0,1.0,0.27,0.12
2006,AP,63,254.0,0.55,0.25,0.04
2006,AP,64,255.0,0.78,0.34,0.14
2006,AP,65,254.0,1.14,0.26,0.23
2006,AP,66,255.0,0.83,0.09,0.26
2006,AP,67,254.0,1.07,0.15,0.13
2006,AP,68,255.0,1.03,0.12,0.26
2006,AP,69,254.0,0.55,0.77,0.23
2006,AP,70,255.0,0.6,0.32,0.19
2006,AP,71,254.0,0.74,0.31,0.15
2006,AP,72,255.0,0.61,0.16,0.48
2006,AP,73,254.0,3.0,1.89,0.46
2006,AP,74,255.0,1.79,0.42,0.3
2006,AP,75,254.0,2.11,0.34,0.37
2006,AP,76,255.0,1.94,0.32,0.36
2006,AP,77,255.0,1.44,0.5,0.29
2006,AP,78,254.0,1.64,0.27,0.64
2006,AP,79,255.0,2.53,4.5,1.18
2006,AP,80,254.0,1.88,1.27,0.38
2006,AP,81,255.0,2.28,0.47,0.29
2006,AP,82,254.0,3.05,1.22,0.68
2006,AP,83,255.0,2.18,0.82,0.72
2006,AP,84,254.0,2.1,1.0,0.74
2006,AP,85,255.0,1.85,0.48,0.49
2006,AP,86,254.0,4.46,0.81,0.37
2006,AP,87,255.0,1.99,0.61,0.78
2006,AP,88,254.0,2.17,1.4,0.57
2006,AP,89,255.0,3.68,0.61,0.43
2006,AP,90,254.0,2.15,0.75,0.61
2006,AP,91,255.0,2.75,1.03,0.7
2006,AP,92,254.0,4.14,1.59,1.0
2006,AP,93,255.0,3.24,1.35,0.84
2006,AP,94,254.0,6.13,2.15,1.52
2006,AP,95,255.0,6.43,1.57,1.05
2006,AP,96,254.0,6.24,1.73,28.25
2006,AP,97,255.0,8.55,3.94,2.44
2006,AP,98,254.0,6.6,3.75,2.34
2006,AP,99,255.0,12.81,5.03,2.31
2006,AP,100,254.0,34.03,10.57,9.67
2006,BA,1,7.644,88.8,94.51,23.0
2006,BA,2,7.643,71.66,56.84,4.63
2006,BA,3,7.644,78.23,133.45,6.01
2006,BA,4,7.643,63.33,82.42,7.32
2006,BA,5,7.644,76.16,59.89,10.94
2006,BA,6,7.643,78.87,61.89,16.09
2006,BA,7,7.644,71.71,118.02,12.2
2006,BA,8,7.643,61.77,65.84,7.33
2006,BA,9,7.643,79.69,66.42,14.07
2006,BA,10,7.644,55.55,83.99,9.86
2006,BA,11,7.643,80.52,112.99,25.0
2006,BA,12,7.644,62.39,102.68,28.11
2006,BA,13,7.643,65.13,73.07,5.46
2006,BA,14,7.644,71.59,61.89,9.19
2006,BA,15,7.643,69.6,84.27,10.6
2006,BA,16,7.643,84.34,116.88,20.54
2006,BA,17,7.644,61.96,93.0,8.58
2006,BA,18,7.643,83.61,62.87,5.24
2006,BA,19,7.644,103.68,91.5,9.36
2006,BA,20,7.643,81.07,91.66,15.68
2006,BA,21,7.644,88.98,148.8,12.6
2006,BA,22,7.643,76.19,146.76,8.7
2006,BA,23,7.643,57.92,52.28,4.63
2006,BA,24,7.644,71.95,54.98,4.15
2006,BA,25,7.643,92.69,90.85,7.48
2006,BA,26,7.644,76.33,74.27,11.67
2006,BA,27,7.643,92.27,146.98,7.94
2006,BA,28,7.644,85.36,81.66,6.82
2006,BA,29,7.643,108.43,110.49,8.7
2006,BA,30,7.643,87.74,67.51,7.91
2006,BA,31,7.644,98.09,79.84,9.3
2006,BA,32,7.643,76.37,83.51,8.66
